family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,0,0.5422,0.5442,3.84,expclr,ExpCLR-aper_all_all_age_fold0.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,1,0.701,0.4252,5.48,expclr,ExpCLR-aper_all_all_age_fold1.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,2,1.867,0.3951,5.25,expclr,ExpCLR-aper_all_all_age_fold2.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,3,0.7707,0.2258,6.26,expclr,ExpCLR-aper_all_all_age_fold3.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,4,1.3896,-1.6756,5.62,expclr,ExpCLR-aper_all_all_age_fold4.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,5,0.3715,0.858,4.55,expclr,ExpCLR-aper_all_all_age_fold5.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,6,0.8917,-0.042,5.56,expclr,ExpCLR-aper_all_all_age_fold6.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,7,0.6416,0.5483,7.51,expclr,ExpCLR-aper_all_all_age_fold7.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,8,0.531,0.7004,6.73,expclr,ExpCLR-aper_all_all_age_fold8.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,fine_tuning,9,0.961,-0.0519,8.64,expclr,ExpCLR-aper_all_all_age_fold9.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,0,1.5205,-2.1338,11.64,expclr,ExpCLR-aper_all_all_age_fold0.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,1,1.6795,-2.4369,12.61,expclr,ExpCLR-aper_all_all_age_fold1.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,2,4.5503,-0.454,11.85,expclr,ExpCLR-aper_all_all_age_fold2.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,3,1.3314,-0.9461,11.82,expclr,ExpCLR-aper_all_all_age_fold3.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,4,3.1842,-16.2632,11.78,expclr,ExpCLR-aper_all_all_age_fold4.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,5,0.9982,0.0004,12.41,expclr,ExpCLR-aper_all_all_age_fold5.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,6,1.6125,-2.0511,11.08,expclr,ExpCLR-aper_all_all_age_fold6.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,7,1.0111,-0.0447,11.74,expclr,ExpCLR-aper_all_all_age_fold7.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,8,1.0823,-0.1757,14.01,expclr,ExpCLR-aper_all_all_age_fold8.csv
ExpCLR,ExpCLR-aper,,,P_aper,all,all,age,linear_probe,9,1.5793,-2.1297,13.41,expclr,ExpCLR-aper_all_all_age_fold9.csv
