family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,0,0.7043,0.2035,4.99,expclr,ExpCLR-full_all_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,1,0.7115,0.3318,5.04,expclr,ExpCLR-full_all_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,2,0.9543,0.2708,5.09,expclr,ExpCLR-full_all_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,3,0.7806,-0.0073,5.92,expclr,ExpCLR-full_all_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,4,1.9418,-5.9018,6.8,expclr,ExpCLR-full_all_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,5,0.3513,0.867,4.23,expclr,ExpCLR-full_all_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,6,0.9041,0.0447,6.26,expclr,ExpCLR-full_all_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,7,0.7192,0.4706,8.33,expclr,ExpCLR-full_all_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,8,0.5169,0.7,6.73,expclr,ExpCLR-full_all_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,fine_tuning,9,0.8147,0.1799,6.97,expclr,ExpCLR-full_all_all_age_fold9.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,0,1.4924,-1.8144,11.85,expclr,ExpCLR-full_all_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,1,1.6533,-2.5316,12.23,expclr,ExpCLR-full_all_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,2,4.5149,-0.5847,12.23,expclr,ExpCLR-full_all_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,3,1.3488,-1.0744,11.73,expclr,ExpCLR-full_all_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,4,3.0104,-13.411,11.68,expclr,ExpCLR-full_all_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,5,1.0341,-0.0697,12.89,expclr,ExpCLR-full_all_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,6,1.7358,-2.5566,11.86,expclr,ExpCLR-full_all_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,7,0.9941,0.0069,11.5,expclr,ExpCLR-full_all_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,8,1.0286,-0.0678,13.24,expclr,ExpCLR-full_all_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,all,all,age,linear_probe,9,1.5451,-2.0946,12.95,expclr,ExpCLR-full_all_all_age_fold9.csv
