family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,0,0.9679,-0.2329,7.5,expclr,ExpCLR-full_central_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,1,1.465,-3.7345,8.27,expclr,ExpCLR-full_central_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,2,4.3753,0.1925,8.29,expclr,ExpCLR-full_central_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,3,1.0629,-0.4987,8.76,expclr,ExpCLR-full_central_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,4,2.7129,-11.0261,10.47,expclr,ExpCLR-full_central_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,5,0.8422,0.273,10.33,expclr,ExpCLR-full_central_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,6,0.9817,-0.1243,7.45,expclr,ExpCLR-full_central_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,7,0.5688,0.657,6.49,expclr,ExpCLR-full_central_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,8,0.5326,0.699,6.81,expclr,ExpCLR-full_central_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,fine_tuning,9,0.7467,0.248,6.17,expclr,ExpCLR-full_central_all_age_fold9.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,0,1.3648,-1.3775,10.79,expclr,ExpCLR-full_central_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,1,1.8586,-4.4574,13.02,expclr,ExpCLR-full_central_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,2,4.9997,-0.7086,11.57,expclr,ExpCLR-full_central_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,3,1.3094,-1.1209,11.08,expclr,ExpCLR-full_central_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,4,3.061,-14.0999,11.66,expclr,ExpCLR-full_central_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,5,0.9906,0.0148,12.29,expclr,ExpCLR-full_central_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,6,1.5776,-1.8882,10.96,expclr,ExpCLR-full_central_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,7,0.954,0.0748,11.05,expclr,ExpCLR-full_central_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,8,1.0713,-0.1547,13.83,expclr,ExpCLR-full_central_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,central,all,age,linear_probe,9,1.5252,-1.8209,13.23,expclr,ExpCLR-full_central_all_age_fold9.csv
