family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,0,0.8691,-0.2645,5.87,expclr,ExpCLR-full_frontal_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,1,1.2359,-1.5246,8.4,expclr,ExpCLR-full_frontal_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,2,2.4301,0.0729,7.57,expclr,ExpCLR-full_frontal_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,3,0.662,0.4972,5.69,expclr,ExpCLR-full_frontal_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,4,1.6033,-4.2593,5.19,expclr,ExpCLR-full_frontal_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,5,0.308,0.8975,3.77,expclr,ExpCLR-full_frontal_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,6,1.0998,-0.4644,7.34,expclr,ExpCLR-full_frontal_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,7,0.7267,0.4688,8.38,expclr,ExpCLR-full_frontal_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,8,0.8479,0.2207,10.65,expclr,ExpCLR-full_frontal_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,fine_tuning,9,0.8959,0.1062,8.47,expclr,ExpCLR-full_frontal_all_age_fold9.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,0,1.5935,-2.5038,12.16,expclr,ExpCLR-full_frontal_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,1,1.6645,-2.3932,12.52,expclr,ExpCLR-full_frontal_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,2,4.333,-0.4407,12.3,expclr,ExpCLR-full_frontal_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,3,1.3107,-0.881,11.63,expclr,ExpCLR-full_frontal_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,4,3.1677,-16.3986,11.46,expclr,ExpCLR-full_frontal_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,5,1.0864,-0.1809,13.53,expclr,ExpCLR-full_frontal_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,6,1.5869,-1.7884,11.55,expclr,ExpCLR-full_frontal_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,7,1.0561,-0.1172,12.2,expclr,ExpCLR-full_frontal_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,8,1.1428,-0.3129,14.81,expclr,ExpCLR-full_frontal_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,frontal,all,age,linear_probe,9,1.5069,-1.9064,12.65,expclr,ExpCLR-full_frontal_all_age_fold9.csv
