family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,0,1.8054,-3.6836,13.33,expclr,ExpCLR-full_occipital_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,1,1.3358,-1.1358,10.11,expclr,ExpCLR-full_occipital_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,2,2.9848,-0.0492,7.01,expclr,ExpCLR-full_occipital_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,3,1.6167,-2.3429,13.41,expclr,ExpCLR-full_occipital_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,4,2.0095,-5.9031,7.56,expclr,ExpCLR-full_occipital_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,5,1.0349,-0.1162,12.67,expclr,ExpCLR-full_occipital_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,6,1.3996,-1.5961,9.95,expclr,ExpCLR-full_occipital_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,7,0.5146,0.7215,5.88,expclr,ExpCLR-full_occipital_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,8,1.0912,-0.3042,13.68,expclr,ExpCLR-full_occipital_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,fine_tuning,9,1.8589,-3.7315,15.08,expclr,ExpCLR-full_occipital_all_age_fold9.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,0,1.6462,-2.9787,12.15,expclr,ExpCLR-full_occipital_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,1,1.6921,-2.4272,12.93,expclr,ExpCLR-full_occipital_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,2,5.0664,-0.7731,12.85,expclr,ExpCLR-full_occipital_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,3,1.3769,-1.2151,11.83,expclr,ExpCLR-full_occipital_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,4,2.9746,-13.569,11.24,expclr,ExpCLR-full_occipital_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,5,0.9289,0.1364,11.58,expclr,ExpCLR-full_occipital_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,6,1.5144,-1.5748,10.88,expclr,ExpCLR-full_occipital_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,7,1.0259,-0.0527,11.84,expclr,ExpCLR-full_occipital_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,8,1.0128,-0.0468,12.95,expclr,ExpCLR-full_occipital_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,occipital,all,age,linear_probe,9,1.5783,-2.3251,12.95,expclr,ExpCLR-full_occipital_all_age_fold9.csv
