family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,0,0.8716,-0.1654,6.13,expclr,ExpCLR-full_parietal_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,1,1.0265,-0.2883,7.87,expclr,ExpCLR-full_parietal_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,2,2.9253,0.2191,8.11,expclr,ExpCLR-full_parietal_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,3,0.8502,0.1678,7.59,expclr,ExpCLR-full_parietal_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,4,1.6909,-3.3658,6.37,expclr,ExpCLR-full_parietal_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,5,0.5919,0.5958,7.09,expclr,ExpCLR-full_parietal_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,6,0.8757,0.0461,6.03,expclr,ExpCLR-full_parietal_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,7,0.9447,-0.0424,10.94,expclr,ExpCLR-full_parietal_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,8,0.607,0.6104,7.83,expclr,ExpCLR-full_parietal_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,fine_tuning,9,1.1397,-0.4838,10.5,expclr,ExpCLR-full_parietal_all_age_fold9.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,0,1.6169,-2.7455,12.1,expclr,ExpCLR-full_parietal_all_age_fold0.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,1,1.4539,-1.4446,11.65,expclr,ExpCLR-full_parietal_all_age_fold1.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,2,4.7725,-0.8961,12.35,expclr,ExpCLR-full_parietal_all_age_fold2.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,3,1.4058,-1.334,12.08,expclr,ExpCLR-full_parietal_all_age_fold3.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,4,2.9682,-12.6751,11.75,expclr,ExpCLR-full_parietal_all_age_fold4.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,5,0.7689,0.3628,9.28,expclr,ExpCLR-full_parietal_all_age_fold5.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,6,1.648,-2.085,11.74,expclr,ExpCLR-full_parietal_all_age_fold6.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,7,1.0192,-0.0435,11.79,expclr,ExpCLR-full_parietal_all_age_fold7.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,8,1.0101,-0.0357,13.0,expclr,ExpCLR-full_parietal_all_age_fold8.csv
ExpCLR,ExpCLR-full,,,P_full,parietal,all,age,linear_probe,9,1.6753,-2.8317,13.52,expclr,ExpCLR-full_parietal_all_age_fold9.csv
