family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,0,0.7036,0.3116,5.27,expclr,ExpCLR_all_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,1,0.7892,0.1216,5.29,expclr,ExpCLR_all_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,2,3.5474,-0.2521,8.75,expclr,ExpCLR_all_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,3,0.6088,0.5345,5.06,expclr,ExpCLR_all_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,4,1.9121,-4.6576,7.37,expclr,ExpCLR_all_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,5,0.4149,0.8015,4.94,expclr,ExpCLR_all_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,6,0.7338,0.3405,5.0,expclr,ExpCLR_all_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,7,0.584,0.6359,6.78,expclr,ExpCLR_all_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,8,0.5296,0.6969,6.74,expclr,ExpCLR_all_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,fine_tuning,9,0.8003,0.212,6.93,expclr,ExpCLR_all_all_age_fold9.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,0,1.1977,-0.9687,8.98,expclr,ExpCLR_all_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,1,1.6098,-2.3041,11.99,expclr,ExpCLR_all_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,2,4.4565,-0.6179,11.45,expclr,ExpCLR_all_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,3,1.3688,-1.365,11.37,expclr,ExpCLR_all_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,4,2.4469,-7.4905,10.47,expclr,ExpCLR_all_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,5,1.0038,-0.0093,12.5,expclr,ExpCLR_all_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,6,1.0085,-0.1892,7.09,expclr,ExpCLR_all_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,7,1.0383,-0.0786,11.96,expclr,ExpCLR_all_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,8,0.8711,0.2136,11.14,expclr,ExpCLR_all_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,all,all,age,linear_probe,9,1.5371,-1.7851,13.47,expclr,ExpCLR_all_all_age_fold9.csv
