family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,0,0.687,0.4265,5.76,expclr,ExpCLR_central_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,1,1.6516,-3.8059,11.02,expclr,ExpCLR_central_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,2,3.4674,0.2802,7.74,expclr,ExpCLR_central_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,3,1.0962,-0.6988,8.78,expclr,ExpCLR_central_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,4,1.7677,-3.2953,7.39,expclr,ExpCLR_central_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,5,0.5297,0.7062,6.56,expclr,ExpCLR_central_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,6,1.2097,-0.8391,8.31,expclr,ExpCLR_central_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,7,0.5896,0.6433,6.76,expclr,ExpCLR_central_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,8,0.7037,0.4232,8.78,expclr,ExpCLR_central_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,fine_tuning,9,0.8344,0.0885,7.0,expclr,ExpCLR_central_all_age_fold9.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,0,1.4871,-1.927,11.55,expclr,ExpCLR_central_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,1,1.8592,-3.797,13.07,expclr,ExpCLR_central_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,2,4.4716,-0.5075,10.9,expclr,ExpCLR_central_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,3,1.3563,-1.4664,11.1,expclr,ExpCLR_central_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,4,2.6507,-9.1929,10.79,expclr,ExpCLR_central_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,5,0.9224,0.1337,11.35,expclr,ExpCLR_central_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,6,1.679,-2.459,11.11,expclr,ExpCLR_central_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,7,0.9427,0.1021,10.91,expclr,ExpCLR_central_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,8,1.0277,-0.0615,13.3,expclr,ExpCLR_central_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,central,all,age,linear_probe,9,1.5063,-1.7693,12.97,expclr,ExpCLR_central_all_age_fold9.csv
