family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,0,1.0754,-1.0976,7.01,expclr,ExpCLR_frontal_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,1,1.1074,-1.2591,6.54,expclr,ExpCLR_frontal_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,2,2.2433,-0.4008,10.03,expclr,ExpCLR_frontal_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,3,0.7949,0.228,6.63,expclr,ExpCLR_frontal_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,4,1.3552,-1.3033,5.72,expclr,ExpCLR_frontal_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,5,0.3199,0.8903,3.96,expclr,ExpCLR_frontal_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,6,0.8026,0.2989,6.01,expclr,ExpCLR_frontal_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,7,0.4781,0.7498,5.41,expclr,ExpCLR_frontal_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,8,0.5906,0.6485,7.78,expclr,ExpCLR_frontal_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,fine_tuning,9,0.8372,0.1636,7.75,expclr,ExpCLR_frontal_all_age_fold9.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,0,1.6958,-3.3301,12.38,expclr,ExpCLR_frontal_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,1,1.7179,-2.6306,12.74,expclr,ExpCLR_frontal_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,2,4.2206,-0.5905,12.28,expclr,ExpCLR_frontal_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,3,1.3494,-1.057,11.77,expclr,ExpCLR_frontal_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,4,2.7093,-9.8507,11.05,expclr,ExpCLR_frontal_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,5,1.0611,-0.1272,13.21,expclr,ExpCLR_frontal_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,6,1.6607,-2.1729,11.64,expclr,ExpCLR_frontal_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,7,1.0426,-0.0881,12.0,expclr,ExpCLR_frontal_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,8,1.0581,-0.1296,13.62,expclr,ExpCLR_frontal_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,frontal,all,age,linear_probe,9,1.4635,-1.7966,12.16,expclr,ExpCLR_frontal_all_age_fold9.csv
