family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,0,2.0011,-5.8516,13.54,expclr,ExpCLR_occipital_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,1,1.7062,-2.6173,12.83,expclr,ExpCLR_occipital_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,2,5.6977,-1.6104,14.68,expclr,ExpCLR_occipital_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,3,1.684,-2.8837,13.76,expclr,ExpCLR_occipital_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,4,3.0246,-12.7742,12.43,expclr,ExpCLR_occipital_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,5,0.5486,0.697,6.82,expclr,ExpCLR_occipital_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,6,1.6167,-2.3136,10.41,expclr,ExpCLR_occipital_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,7,1.075,-0.1891,12.4,expclr,ExpCLR_occipital_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,8,1.041,-0.2081,12.9,expclr,ExpCLR_occipital_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,fine_tuning,9,1.6849,-2.8942,13.58,expclr,ExpCLR_occipital_all_age_fold9.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,0,1.6251,-2.7589,12.2,expclr,ExpCLR_occipital_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,1,1.7209,-2.5943,12.93,expclr,ExpCLR_occipital_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,2,5.2412,-1.5053,13.24,expclr,ExpCLR_occipital_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,3,1.4344,-1.3963,12.4,expclr,ExpCLR_occipital_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,4,3.0575,-14.5639,11.68,expclr,ExpCLR_occipital_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,5,0.9845,0.0269,12.32,expclr,ExpCLR_occipital_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,6,1.5373,-1.764,10.66,expclr,ExpCLR_occipital_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,7,0.9709,0.051,11.21,expclr,ExpCLR_occipital_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,8,1.0326,-0.078,13.28,expclr,ExpCLR_occipital_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,occipital,all,age,linear_probe,9,1.6088,-2.9075,12.45,expclr,ExpCLR_occipital_all_age_fold9.csv
