family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,0,0.9623,-0.3318,7.19,expclr,ExpCLR_parietal_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,1,1.3662,-1.1378,10.77,expclr,ExpCLR_parietal_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,2,2.9891,0.2341,7.33,expclr,ExpCLR_parietal_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,3,0.9576,-0.2196,7.89,expclr,ExpCLR_parietal_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,4,1.4634,-2.24,5.38,expclr,ExpCLR_parietal_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,5,0.5117,0.7041,6.2,expclr,ExpCLR_parietal_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,6,0.926,-0.0311,6.29,expclr,ExpCLR_parietal_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,7,0.8558,0.1244,9.93,expclr,ExpCLR_parietal_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,8,0.5577,0.6599,7.01,expclr,ExpCLR_parietal_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,fine_tuning,9,1.0328,-0.302,9.2,expclr,ExpCLR_parietal_all_age_fold9.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,0,1.4583,-1.7964,11.32,expclr,ExpCLR_parietal_all_age_fold0.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,1,1.7532,-2.9883,12.7,expclr,ExpCLR_parietal_all_age_fold1.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,2,5.0415,-0.9812,12.15,expclr,ExpCLR_parietal_all_age_fold2.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,3,1.3589,-1.1931,11.6,expclr,ExpCLR_parietal_all_age_fold3.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,4,2.982,-12.9228,11.63,expclr,ExpCLR_parietal_all_age_fold4.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,5,0.888,0.191,10.87,expclr,ExpCLR_parietal_all_age_fold5.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,6,1.6765,-2.2523,11.68,expclr,ExpCLR_parietal_all_age_fold6.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,7,1.0431,-0.0912,12.04,expclr,ExpCLR_parietal_all_age_fold7.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,8,0.8789,0.1954,11.22,expclr,ExpCLR_parietal_all_age_fold8.csv
ExpCLR,ExpCLR,,,P_madurativo,parietal,all,age,linear_probe,9,1.5672,-2.1537,13.16,expclr,ExpCLR_parietal_all_age_fold9.csv
