family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,0,0.6122,0.4543,4.48,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,0,0.6197,0.4611,5.01,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,1,0.516,0.632,3.49,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,1,0.6212,0.478,4.25,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,2,0.7257,0.4332,5.72,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,2,1.1151,0.3433,5.06,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,3,0.5917,0.5721,4.95,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,3,0.4969,0.6833,4.07,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,4,1.5,-3.0687,4.96,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,4,1.222,-0.993,4.85,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,5,0.4208,0.8001,5.05,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,5,0.4177,0.7989,5.0,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,6,0.7252,0.3361,4.82,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,6,0.7063,0.3759,4.72,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,7,0.5205,0.713,6.09,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,7,0.5138,0.725,5.94,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,8,0.444,0.7866,5.89,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,8,0.4388,0.7706,5.7,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,9,0.6854,0.5074,6.76,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,all,all,age,fine_tuning,9,0.7167,0.4007,6.51,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,0,1.5588,-2.5202,11.59,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,0,1.5117,-2.2539,11.34,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,1,1.7197,-2.919,12.55,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,1,1.7362,-2.8628,12.81,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,2,1.1314,-0.3317,12.06,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,2,4.8437,-0.2436,12.04,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,3,1.3958,-1.3064,12.08,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,3,1.3904,-1.2776,12.02,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,4,3.0189,-14.2886,11.17,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,4,2.9752,-13.6373,11.12,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,5,1.0133,-0.0283,12.66,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,5,1.046,-0.0957,13.08,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,6,1.4863,-1.4465,10.81,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,6,1.4714,-1.3453,10.98,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,7,0.9737,0.046,11.25,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,7,0.989,0.0171,11.41,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,8,1.0446,-0.1287,13.27,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,8,1.0686,-0.1808,13.58,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,9,1.5167,-1.815,12.98,True,c1a,A,save/c1a,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,all,all,age,linear_probe,9,1.5694,-2.0479,13.37,False,c1a,D,save/c1a_all,downstream_raw_results_kfold_folds9-9.csv
