family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,0,0.6704,0.4608,5.53,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,1,1.1069,-1.3136,6.81,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,2,3.2275,-1.7291,7.76,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,3,0.6706,0.4629,5.68,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,4,2.1191,-4.0813,10.17,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,5,0.5848,0.6519,7.36,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,6,1.0787,-0.399,8.19,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,7,0.6055,0.615,6.95,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,8,0.4046,0.8304,5.18,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,central,all,age,fine_tuning,9,0.9713,-0.0068,9.24,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,0,1.3939,-1.6065,10.77,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,1,1.9435,-5.0855,13.49,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,2,5.0746,-0.5242,12.12,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,3,1.3394,-1.2461,11.24,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,4,2.879,-12.7444,10.91,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,5,0.8983,0.1823,11.07,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,6,1.5722,-1.6974,11.67,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,7,1.0222,-0.0455,11.77,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,8,1.0117,-0.0583,12.86,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,central,all,age,linear_probe,9,1.3006,-1.027,11.34,True,c1a,D,save/c1a_central,downstream_raw_results_kfold_folds9-9.csv
