family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,0,0.6239,0.5226,5.13,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,1,0.9082,0.002,7.69,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,2,0.9142,-0.1689,4.72,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,3,0.6475,0.5563,6.0,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,4,1.9727,-6.9339,6.25,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,5,0.2648,0.929,3.27,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,6,0.8806,0.0139,5.67,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,7,0.3859,0.8495,4.43,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,8,0.4266,0.8154,5.62,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,fine_tuning,9,0.7483,0.3664,6.78,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,0,1.713,-3.3956,12.53,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,1,1.5751,-1.9148,12.01,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,2,4.3101,-0.4137,12.74,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,3,1.2509,-0.6454,11.37,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,4,2.6997,-10.774,10.46,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,5,1.1316,-0.2824,14.1,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,6,1.5267,-1.5525,11.24,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,7,1.0167,-0.0346,11.71,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,8,1.0836,-0.1786,14.06,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,frontal,all,age,linear_probe,9,1.347,-1.1132,11.9,True,c1a,C,save/c1a_frontal,downstream_raw_results_kfold_folds9-9.csv
