family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,0,1.5889,-2.6462,11.82,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,1,1.2801,-0.7237,11.64,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,2,4.8372,-1.0227,12.24,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,3,1.411,-1.6717,11.5,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,4,2.6725,-10.6364,10.51,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,5,0.8901,0.1937,11.11,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,6,1.3669,-1.4364,9.0,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,7,0.9124,0.1572,10.57,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,8,0.9814,-0.1086,12.07,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,fine_tuning,9,1.5783,-2.4731,12.75,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,0,1.6055,-2.5181,12.32,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,1,1.5603,-1.669,12.92,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,2,4.4864,-0.3834,12.42,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,3,1.3083,-0.7648,12.28,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,4,3.1229,-14.6491,12.02,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,5,1.05,-0.103,13.1,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,6,1.5412,-1.5964,11.38,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,7,1.1887,-0.4139,13.71,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,8,1.1156,-0.2483,14.57,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,occipital,all,age,linear_probe,9,1.4266,-1.4883,12.29,True,c1a,C,save/c1a_occipital,downstream_raw_results_kfold_folds9-9.csv
