family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,0,0.8375,0.0595,6.33,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,1,0.943,-0.049,7.17,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,2,2.8597,0.0897,7.99,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,3,0.8425,0.0517,6.99,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,4,1.6413,-3.2486,6.08,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,5,0.4755,0.7135,5.64,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,6,0.7444,0.3495,5.17,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,7,0.7736,0.294,9.08,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,8,0.5954,0.6026,7.43,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,fine_tuning,9,1.0399,-0.2491,9.34,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds9-9.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,0,1.739,-3.5242,12.77,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds0-0.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,1,1.6697,-2.4225,12.45,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds1-1.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,2,4.6886,-0.4964,12.56,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds2-2.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,3,1.3595,-0.9965,12.2,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds3-3.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,4,3.0538,-14.2674,11.53,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds4-4.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,5,1.1058,-0.2231,13.82,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds5-5.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,6,1.5982,-1.7655,11.96,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds6-6.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,7,1.005,-0.0247,11.62,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds7-7.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,8,1.1442,-0.3165,15.02,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds8-8.csv
InterFusion,InterFusion-c1a,,,,parietal,all,age,linear_probe,9,1.4917,-1.847,12.54,True,c1a,C,save/c1a_parietal,downstream_raw_results_kfold_folds9-9.csv
