family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
MAE,MAE,,,,all,all,age,fine_tuning,0,0.6566,0.1186,4.04,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds0-0.csv
MAE,MAE,,,,all,all,age,fine_tuning,1,0.5813,0.4161,3.3,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds1-1.csv
MAE,MAE,,,,all,all,age,fine_tuning,2,0.4934,0.6878,2.32,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds2-2.csv
MAE,MAE,,,,all,all,age,fine_tuning,3,0.4334,0.7932,3.82,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds3-3.csv
MAE,MAE,,,,all,all,age,fine_tuning,4,0.8568,0.0619,3.56,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds4-4.csv
MAE,MAE,,,,all,all,age,fine_tuning,5,0.3301,0.8866,4.04,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds5-5.csv
MAE,MAE,,,,all,all,age,fine_tuning,6,0.6099,0.4542,3.44,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds6-6.csv
MAE,MAE,,,,all,all,age,fine_tuning,7,0.3225,0.8954,3.7,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds7-7.csv
MAE,MAE,,,,all,all,age,fine_tuning,8,0.2688,0.9175,3.36,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds8-8.csv
MAE,MAE,,,,all,all,age,fine_tuning,9,0.5996,0.4136,4.94,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds9-9.csv
MAE,MAE,,,,all,all,age,linear_probe,0,1.5429,-2.3709,11.61,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds0-0.csv
MAE,MAE,,,,all,all,age,linear_probe,1,1.7325,-2.8865,12.5,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds1-1.csv
MAE,MAE,,,,all,all,age,linear_probe,2,4.5663,-0.4209,11.41,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds2-2.csv
MAE,MAE,,,,all,all,age,linear_probe,3,1.3757,-1.3446,11.64,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds3-3.csv
MAE,MAE,,,,all,all,age,linear_probe,4,3.06,-14.921,11.3,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds4-4.csv
MAE,MAE,,,,all,all,age,linear_probe,5,0.9219,0.1449,11.41,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds5-5.csv
MAE,MAE,,,,all,all,age,linear_probe,6,1.6058,-1.9731,11.22,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds6-6.csv
MAE,MAE,,,,all,all,age,linear_probe,7,0.8885,0.2056,10.25,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds7-7.csv
MAE,MAE,,,,all,all,age,linear_probe,8,0.9104,0.1524,11.62,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds8-8.csv
MAE,MAE,,,,all,all,age,linear_probe,9,1.4706,-1.6919,12.55,True,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds9-9.csv
