family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
PCA,PCA,,,,all,all,age,linear_probe,0,1.5723,-2.5013,11.9,baselines_paper,PCA_all_all_age_fold0.csv
PCA,PCA,,,,all,all,age,linear_probe,1,1.6195,-1.8873,13.16,baselines_paper,PCA_all_all_age_fold1.csv
PCA,PCA,,,,all,all,age,linear_probe,2,5.3036,-0.5257,13.5,baselines_paper,PCA_all_all_age_fold2.csv
PCA,PCA,,,,all,all,age,linear_probe,3,1.2947,-0.7823,11.7,baselines_paper,PCA_all_all_age_fold3.csv
PCA,PCA,,,,all,all,age,linear_probe,4,3.2496,-18.9275,11.47,baselines_paper,PCA_all_all_age_fold4.csv
PCA,PCA,,,,all,all,age,linear_probe,5,1.0919,-0.1926,13.65,baselines_paper,PCA_all_all_age_fold5.csv
PCA,PCA,,,,all,all,age,linear_probe,6,1.5852,-1.7517,11.69,baselines_paper,PCA_all_all_age_fold6.csv
PCA,PCA,,,,all,all,age,linear_probe,7,1.0782,-0.1665,12.4,baselines_paper,PCA_all_all_age_fold7.csv
PCA,PCA,,,,all,all,age,linear_probe,8,1.0895,-0.1885,14.2,baselines_paper,PCA_all_all_age_fold8.csv
PCA,PCA,,,,all,all,age,linear_probe,9,1.4188,-1.41,12.34,baselines_paper,PCA_all_all_age_fold9.csv
