family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,0,0.5804,0.514,4.32,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,0,0.6846,0.1989,4.58,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,1,0.6031,0.5096,4.13,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,1,0.6275,0.4705,4.39,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,2,0.7364,0.3094,6.35,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,2,2.0193,0.464,5.43,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,3,0.7094,0.2395,5.55,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,3,0.6704,0.2878,5.19,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,4,1.3991,-1.6456,5.63,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,4,1.3927,-1.7167,5.52,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,5,0.4564,0.7641,5.52,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,5,0.4525,0.7728,5.43,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,6,0.7261,0.3657,4.95,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,6,0.7543,0.3327,5.23,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,7,0.5875,0.6442,6.83,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,7,0.5921,0.6194,6.9,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,8,0.529,0.7025,6.9,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,all,all,age,fine_tuning,8,0.5034,0.7135,6.56,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
