family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,0,0.8091,0.0869,6.11,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,1,1.2307,-1.5285,7.84,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,2,2.4341,0.4483,6.11,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,3,0.582,0.6126,5.33,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,4,1.9721,-4.4221,7.93,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,5,0.4471,0.7742,5.33,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,6,1.3265,-1.0138,10.18,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,7,0.6437,0.5636,7.37,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,8,0.7052,0.3973,8.6,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,fine_tuning,9,0.663,0.3823,5.23,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,0,1.4317,-1.9365,10.62,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,1,1.8107,-4.367,11.99,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,2,4.5971,-0.264,10.65,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,3,1.2871,-1.1866,10.52,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,4,3.3823,-19.1715,12.07,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,5,0.7909,0.368,9.83,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,6,1.6107,-2.23,10.77,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,7,0.7508,0.4185,8.63,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,8,1.0251,-0.1133,12.9,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,central,all,age,linear_probe,9,1.2149,-0.6868,10.87,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
