family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,0,0.9591,-0.7939,6.23,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,1,0.6257,0.4501,4.22,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,2,0.969,0.4206,4.58,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,3,0.6667,0.5141,5.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,4,0.9914,-0.3252,3.76,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,5,0.3355,0.8828,4.08,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,6,0.8463,0.1298,5.69,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,7,0.3993,0.8349,4.56,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,8,0.4885,0.7381,6.22,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,fine_tuning,9,0.8579,0.1912,8.17,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,0,1.4804,-2.3861,10.67,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,1,1.9151,-4.4761,12.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,2,3.6891,-0.409,11.31,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,3,1.2003,-0.5028,10.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,4,2.6752,-10.9053,9.73,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,5,0.7934,0.353,9.7,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,6,1.4422,-1.8097,9.1,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,7,0.8508,0.2751,9.81,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,8,0.9165,0.1214,11.59,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,frontal,all,age,linear_probe,9,1.2869,-1.022,11.02,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
