family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,0,0.7443,-0.495,3.86,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,1,0.5226,0.5917,3.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,2,0.493,0.6123,2.73,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,3,0.4635,0.6972,3.67,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,4,1.387,-3.4135,3.68,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,5,0.2365,0.934,2.85,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,6,0.6442,0.3774,3.81,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,7,0.3333,0.884,3.81,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,8,0.2994,0.8789,3.6,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,fine_tuning,9,0.4043,0.765,3.21,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,0,1.8127,-4.2803,12.76,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,1,1.5543,-1.7586,12.53,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,2,4.1193,-0.8969,11.33,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,3,1.4087,-1.4588,11.79,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,4,3.2703,-18.0041,12.19,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,5,0.8563,0.2502,10.52,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,6,1.5776,-2.332,10.55,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,7,0.9496,0.0817,11.03,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,8,0.9351,0.0949,11.87,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-cosine,diffage,cosine,,occipital,all,age,linear_probe,9,1.737,-3.3408,13.66,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
