family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,0,0.6797,0.2549,4.78,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,0,0.8082,-0.2849,5.07,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,1,0.7798,0.1505,5.25,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,1,0.7872,0.0949,5.14,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,2,0.6404,0.4869,5.37,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,2,1.5126,0.2913,5.92,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,3,0.6183,0.412,4.74,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,3,0.692,0.3762,5.81,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,4,1.1262,-0.6669,4.57,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,4,1.3239,-1.0816,5.97,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,5,0.3671,0.8481,4.38,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,all,all,age,fine_tuning,5,0.3605,0.8493,4.29,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
