family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,0,0.6898,0.3122,5.13,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,1,1.2908,-2.1675,7.69,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,2,2.5955,0.4362,6.42,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,3,0.7659,0.3285,6.9,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,4,2.4918,-12.4889,7.71,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,5,0.514,0.6933,6.25,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,6,1.0976,-0.2633,9.12,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,7,0.4797,0.7446,5.47,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,8,0.5871,0.6262,7.46,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,fine_tuning,9,0.9188,-0.2033,7.19,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,0,1.3489,-1.7233,9.68,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,1,1.5888,-2.9967,10.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,2,4.2667,0.0614,9.69,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,3,1.3174,-1.17,11.2,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,4,3.2711,-18.2521,11.62,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,5,0.7689,0.3914,9.41,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,6,1.4758,-1.5943,10.16,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,7,0.7879,0.3703,9.09,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,8,0.9391,0.104,12.04,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,central,all,age,linear_probe,9,1.1186,-0.4205,10.11,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
