family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,0,1.0692,-1.6827,6.22,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,1,0.8636,-0.2057,5.2,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,2,1.8695,0.0545,7.47,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,3,0.5247,0.6929,4.72,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,4,1.0367,-0.6175,3.83,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,5,0.2727,0.9212,3.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,6,0.8215,0.1283,5.34,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,7,0.4602,0.7776,5.25,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,8,0.411,0.8178,5.2,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,fine_tuning,9,0.7961,0.1829,7.2,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,0,1.6032,-3.6215,10.64,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,1,1.9025,-5.0664,12.65,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,2,3.8385,-0.1324,9.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,3,1.1834,-0.5355,10.42,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,4,2.7527,-10.9628,10.59,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,5,0.7134,0.4857,8.87,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,6,1.459,-1.7881,9.26,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,7,0.8319,0.3071,9.6,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,8,0.9027,0.1605,11.54,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,frontal,all,age,linear_probe,9,1.2394,-0.8749,10.59,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
