family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,0,0.9006,-0.9916,4.92,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,1,0.4882,0.6709,3.37,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,2,0.5137,0.3934,3.28,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,3,0.4463,0.6994,3.47,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,4,1.1099,-1.3227,3.37,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,5,0.251,0.9315,3.08,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,6,0.7276,0.1634,3.95,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,7,0.4051,0.8349,4.67,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,8,0.3372,0.862,4.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,fine_tuning,9,0.4869,0.6568,4.03,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,0,1.7809,-3.8871,12.77,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,1,1.4821,-1.4643,11.92,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,2,5.2587,-0.9272,12.46,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,3,1.4078,-1.4683,11.77,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,4,3.033,-14.2711,11.53,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,5,0.7844,0.3643,9.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,6,1.5643,-2.1056,10.52,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,7,0.9245,0.1322,10.74,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,8,1.0075,-0.1262,12.51,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-riemann,diffage,riemann,,occipital,all,age,linear_probe,9,1.6441,-2.6974,13.38,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
