family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,0,0.6736,0.194,4.44,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,0,0.7925,-0.1487,5.23,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,1,0.7106,0.2957,4.82,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,1,0.8449,0.0201,5.8,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,2,0.6636,0.4897,5.94,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,2,2.0841,0.4602,5.67,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,3,0.6228,0.4916,5.19,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,3,0.7398,0.2574,6.1,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,4,1.1706,-0.7206,4.99,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,4,1.2679,-1.11,5.18,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,5,0.4738,0.7601,5.73,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,5,0.4481,0.7429,5.28,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,6,0.7548,0.2822,4.91,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,6,0.6771,0.4497,4.57,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,7,0.5658,0.6558,6.59,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,7,0.6251,0.5823,7.32,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,8,0.4261,0.8082,5.45,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,8,0.5404,0.6803,6.92,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,9,0.79,0.1825,6.49,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,fine_tuning,9,0.7746,0.2546,6.73,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,0,1.213,-1.2,8.81,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,0,1.1683,-0.7686,9.04,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,1,1.1601,-0.6063,8.79,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,1,1.2895,-1.0259,9.72,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,2,0.9437,-0.0691,8.84,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,2,3.2395,-0.041,8.73,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,3,0.9256,-0.1115,7.63,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,3,1.1508,-0.6088,9.73,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,4,2.5782,-10.7257,9.6,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,4,2.6404,-11.6207,9.47,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,5,0.6745,0.5338,8.3,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,5,0.641,0.5521,7.81,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,all,all,age,linear_probe,6,1.2152,-0.8538,7.85,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
