family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,0,0.8669,-0.1163,6.32,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,1,1.3545,-3.0057,7.77,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,2,2.0872,0.5307,4.96,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,3,0.921,0.048,8.12,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,4,1.6767,-2.319,7.54,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,5,0.4473,0.7762,5.34,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,6,1.353,-1.0415,10.33,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,7,0.5432,0.6839,6.21,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,8,0.5349,0.681,6.72,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,fine_tuning,9,0.5718,0.5442,4.57,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,0,1.3668,-1.462,10.49,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,1,1.6371,-2.8725,11.26,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,2,4.263,-0.2395,10.13,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,3,1.1882,-0.7626,9.98,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,4,3.2852,-16.9275,12.14,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,5,0.8714,0.2354,10.79,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,6,1.7467,-3.0941,11.34,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,7,0.8506,0.2497,9.76,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,8,0.9837,0.0186,12.7,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,central,all,age,linear_probe,9,1.1324,-0.6098,9.63,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
