family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,0,0.9217,-0.8526,5.48,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,1,0.8674,-0.0575,6.09,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,2,2.3626,0.2584,6.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,3,0.5765,0.6249,4.99,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,4,1.0186,-0.5671,3.71,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,5,0.4163,0.8253,5.14,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,6,0.778,0.2353,5.08,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,7,0.5203,0.6911,5.89,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,8,0.4216,0.8057,5.31,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,fine_tuning,9,0.8382,0.1501,7.24,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,0,1.7084,-4.0997,11.49,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,1,1.7049,-3.2886,11.42,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,2,3.537,-0.695,10.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,3,1.1175,-0.3486,9.95,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,4,2.5853,-9.8471,9.7,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,5,0.7787,0.3812,9.57,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,6,1.3078,-1.1642,8.6,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,7,0.7471,0.44,8.62,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,8,0.9161,0.1431,11.7,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,frontal,all,age,linear_probe,9,1.2242,-0.9523,10.11,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
