family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,0,0.7242,-0.2325,4.07,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,1,0.5201,0.5822,3.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,2,0.6682,0.6108,2.88,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,3,0.3965,0.7871,3.21,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,4,1.1423,-1.6997,3.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,5,0.3016,0.8964,3.65,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,6,0.9159,-0.5459,4.73,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,7,0.4866,0.7533,5.57,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,8,0.2753,0.9059,3.35,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,fine_tuning,9,0.5351,0.6216,4.54,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,0,1.7232,-3.4199,12.58,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,1,1.4751,-1.4546,11.9,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,2,4.99,-0.7182,12.19,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,3,1.3745,-1.4984,11.19,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,4,2.8133,-11.1792,11.05,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,5,0.7682,0.3931,9.41,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,6,1.3768,-1.4306,9.54,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,7,0.9652,0.0499,11.22,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,8,1.0345,-0.135,13.02,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,occipital,all,age,linear_probe,9,1.6084,-2.65,12.82,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
