family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,0,0.7637,0.0556,5.29,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,1,0.8573,0.0576,6.1,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,2,2.4467,0.2114,7.65,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,3,0.7767,0.258,6.53,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,4,1.3411,-1.763,5.02,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,5,0.5007,0.705,6.0,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,6,0.86,0.0754,5.65,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,7,0.8445,0.1202,9.82,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,8,0.5915,0.6102,7.56,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,fine_tuning,9,1.038,-0.3168,9.96,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,0,1.0849,-0.3908,8.92,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,1,1.4464,-1.7976,9.96,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,2,3.7032,-0.1006,9.19,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,3,1.2151,-0.8742,10.15,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,4,2.6371,-10.2401,9.55,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,5,0.7206,0.4528,8.77,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,6,1.3786,-1.4685,8.77,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,7,1.0026,-0.0949,11.68,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,8,0.7256,0.4335,9.1,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-diffage-wasser,diffage,wasserstein,,parietal,all,age,linear_probe,9,1.3673,-1.3763,11.4,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
