family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,0,0.7163,0.202,5.02,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,0,0.7435,0.0918,5.11,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,1,0.9003,-0.2882,5.71,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,1,0.7098,0.4215,5.51,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,2,0.6271,0.4973,5.04,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,2,1.8092,0.3979,5.71,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,3,0.6205,0.472,5.03,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,3,0.6346,0.4992,5.29,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,4,1.4865,-2.8089,5.02,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,4,1.3107,-1.3378,5.15,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,5,0.4464,0.7461,5.28,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,5,0.433,0.7956,5.23,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,6,0.7046,0.2857,4.14,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,6,0.6623,0.4828,4.58,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,7,0.525,0.7179,6.11,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,7,0.601,0.6161,7.03,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,8,0.5102,0.718,6.56,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,8,0.3182,0.8758,3.98,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,9,0.7487,0.2859,6.52,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,fine_tuning,9,0.7848,0.2313,6.79,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,0,1.0654,-0.7629,7.53,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,0,1.0295,-0.6214,7.28,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,1,0.9961,-0.282,7.2,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,1,1.1187,-0.819,7.81,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,2,0.8731,-0.0746,7.25,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,2,3.7389,-0.5895,9.02,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,3,0.7185,0.3534,5.99,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,3,0.9549,-0.1819,7.82,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,4,1.9015,-5.3998,7.06,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,4,2.153,-6.8334,7.93,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,5,0.4944,0.7426,6.04,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,5,0.5503,0.68,6.78,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,6,0.961,-0.1623,6.22,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,6,1.0451,-0.3939,6.71,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,7,0.5424,0.6967,6.31,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,7,0.5989,0.6369,6.94,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,8,0.5047,0.7295,6.53,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,8,0.5169,0.7165,6.65,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,9,0.8584,0.1968,7.9,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,all,all,age,linear_probe,9,0.813,0.2187,7.09,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
