family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,0,0.8069,-0.1228,5.51,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,1,0.9399,-0.6659,5.46,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,2,2.9534,0.4654,6.74,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,3,0.6512,0.4855,6.02,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,4,1.3454,-2.2142,4.54,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,5,0.4464,0.7725,5.35,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,6,1.1978,-0.821,8.28,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,7,0.7777,0.3384,8.95,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,8,0.4399,0.7868,5.64,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,fine_tuning,9,0.5978,0.4788,4.62,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,0,1.0726,-0.602,7.98,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,1,1.4891,-3.2803,9.05,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,2,4.0335,0.1515,9.25,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,3,0.9305,-0.0859,7.76,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,4,2.5321,-9.7095,9.46,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,5,0.4981,0.7387,6.05,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,6,1.5186,-1.9593,9.69,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,7,0.6817,0.5291,7.87,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,8,0.624,0.6093,8.11,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,central,all,age,linear_probe,9,0.8223,0.2399,7.42,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
