family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,0,0.5674,0.3331,3.44,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,1,0.6357,0.4701,4.55,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,2,0.8341,0.1885,4.45,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,3,0.5268,0.6988,4.67,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,4,1.0516,-0.9639,3.39,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,5,0.3074,0.9022,3.76,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,6,0.5877,0.5409,3.63,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,7,0.3833,0.8526,4.41,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,8,0.3449,0.8267,4.1,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,fine_tuning,9,0.8345,0.2264,7.86,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,0,1.3104,-2.1653,8.55,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,1,1.4379,-2.3856,9.08,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,2,3.0283,-0.4223,8.64,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,3,0.9008,0.0741,7.76,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,4,2.0185,-6.0988,7.03,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,5,0.4857,0.7499,5.92,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,6,1.05,-0.3803,6.8,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,7,0.6432,0.5792,7.46,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,8,0.6765,0.5203,8.71,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,frontal,all,age,linear_probe,9,1.063,-0.2279,9.87,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
