family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,0,0.6109,0.1238,3.45,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,1,0.3908,0.7688,2.45,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,2,0.4993,0.6522,2.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,3,0.4507,0.729,3.63,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,4,1.0433,-0.9622,3.15,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,5,0.3803,0.8484,4.63,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,6,0.3737,0.8041,2.23,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,7,0.2993,0.9087,3.48,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,8,0.2894,0.8876,3.48,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,fine_tuning,9,0.4457,0.7529,3.88,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,0,1.2867,-2.0406,8.37,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,1,0.9879,-0.1936,7.65,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,2,2.5063,0.2936,6.82,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,3,0.8171,0.2504,7.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,4,1.9231,-5.3581,6.66,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,5,0.4602,0.7834,5.74,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,6,1.3308,-1.5204,8.06,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,7,0.5201,0.7247,5.97,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,8,0.5069,0.7155,6.29,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,occipital,all,age,linear_probe,9,1.2003,-0.7722,10.19,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
