family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,0,0.538,0.4324,3.32,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,1,0.8166,0.1122,5.66,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,2,2.4363,0.5485,5.47,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,3,0.8175,0.1437,6.85,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,4,1.287,-2.0245,4.14,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,5,0.4063,0.7969,4.85,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,6,0.6786,0.3741,4.18,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,7,0.7598,0.2758,8.86,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,8,0.3782,0.8488,4.97,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,fine_tuning,9,1.021,-0.216,9.5,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,0,0.92,-0.2228,6.69,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,1,1.1545,-0.8114,7.85,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,2,2.8105,0.2232,7.54,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,3,1.0112,-0.3777,8.41,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,4,2.4486,-10.9453,7.79,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,5,0.4958,0.7314,5.99,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,6,1.1431,-0.5903,7.64,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,7,0.8229,0.2387,9.56,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,8,0.601,0.6324,7.72,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-cosine,nbr,cosine,,parietal,all,age,linear_probe,9,1.1625,-0.7353,9.7,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
