family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,0,0.6802,0.27,4.72,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,0,0.8084,-0.0769,5.55,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,1,0.7234,0.3261,5.27,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,1,0.76,0.3048,5.7,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,2,0.6486,0.4876,4.55,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,2,1.5604,0.342,5.51,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,3,0.482,0.6977,4.01,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,3,0.6134,0.4754,4.94,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,4,1.365,-1.858,5.12,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,4,1.3356,-1.7615,4.93,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,all,all,age,fine_tuning,5,0.3816,0.8418,4.59,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
