family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,0,0.7415,0.0463,5.03,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,1,1.0261,-0.8718,6.13,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,2,3.4166,0.5825,6.38,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,3,0.6391,0.5291,5.64,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,4,1.3654,-1.8901,5.09,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,5,0.4203,0.8154,5.12,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,6,1.1146,-0.5949,7.59,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,7,0.4148,0.8126,4.73,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,8,0.3435,0.8568,4.2,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,fine_tuning,9,0.6653,0.4255,5.51,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,0,1.0753,-0.7209,7.78,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,1,1.5911,-3.6549,9.79,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,2,3.828,-0.0574,9.08,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,3,0.9182,-0.0599,7.67,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,4,2.7426,-12.2692,10.04,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,5,0.5946,0.6392,7.34,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,6,1.5045,-2.0055,9.37,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,7,0.6637,0.5508,7.65,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,8,0.631,0.5984,8.32,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,central,all,age,linear_probe,9,0.8599,0.1116,7.44,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
