family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,0,0.9811,-1.2678,5.53,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,1,0.6882,0.3142,4.53,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,2,1.582,0.0076,6.83,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,3,0.5298,0.6577,4.51,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,4,0.8863,-0.0076,3.53,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,5,0.3311,0.8878,4.06,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,6,0.9275,-0.1593,5.63,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,7,0.3908,0.8445,4.48,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,8,0.3297,0.8499,3.97,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,fine_tuning,9,0.6153,0.514,5.43,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,0,1.4581,-2.8856,9.52,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,1,1.4917,-2.4605,9.48,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,2,3.4424,-0.5471,9.52,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,3,0.9162,0.0533,7.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,4,2.0779,-5.8054,7.56,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,5,0.4967,0.7422,6.11,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,6,1.0189,-0.2393,6.92,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,7,0.6697,0.5442,7.78,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,8,0.6202,0.6003,7.91,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,frontal,all,age,linear_probe,9,1.0555,-0.2851,9.35,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
