family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,0,0.7533,-0.3346,4.23,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,1,0.4865,0.6558,3.14,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,2,0.3964,0.6249,2.66,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,3,0.4125,0.7721,3.35,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,4,1.3256,-2.8674,3.72,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,5,0.2583,0.926,3.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,6,0.4146,0.7494,2.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,7,0.3402,0.8817,3.94,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,8,0.2769,0.8934,3.33,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,fine_tuning,9,0.4232,0.7283,3.24,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,0,1.4277,-2.9213,9.11,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,1,1.1088,-0.5018,8.62,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,2,3.5523,0.0754,8.33,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,3,0.8976,0.0139,7.58,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,4,2.1288,-7.0666,7.3,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,5,0.499,0.7338,6.07,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,6,1.3708,-1.6142,8.47,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,7,0.5629,0.6794,6.48,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,8,0.5903,0.6183,7.35,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-riemann,nbr,riemann,,occipital,all,age,linear_probe,9,1.2153,-0.7713,10.48,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
