family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,0,0.8671,-0.1699,6.09,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,1,1.139,-1.5028,6.76,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,2,2.7175,0.5345,5.79,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,3,0.7394,0.3554,6.44,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,4,1.4473,-2.583,4.84,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,5,0.4628,0.7756,5.62,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,6,1.2186,-0.8275,8.57,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,7,0.4033,0.826,4.58,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,8,0.389,0.8049,4.69,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,fine_tuning,9,0.6142,0.4143,4.62,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,0,1.1127,-0.7789,8.2,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,1,1.5341,-3.4652,9.31,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,2,3.9266,-0.0847,9.26,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,3,0.9704,-0.1393,8.28,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,4,2.5848,-11.3468,9.54,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,5,0.5721,0.6647,7.01,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,6,1.4877,-1.7764,9.67,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,7,0.6673,0.5519,7.71,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,8,0.6308,0.5995,8.16,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,central,all,age,linear_probe,9,0.8939,-0.0761,7.26,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
