family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,0,0.8557,-0.5876,5.15,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,1,0.6663,0.2711,4.14,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,2,1.8018,-0.089,6.75,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,3,0.4875,0.7404,4.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,4,0.9268,-0.2659,3.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,5,0.3521,0.8717,4.34,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,6,0.7131,0.3408,4.5,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,7,0.4352,0.8011,4.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,8,0.3647,0.8133,4.36,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,fine_tuning,9,0.707,0.3561,6.37,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,0,1.4033,-2.8019,8.92,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,1,1.4669,-2.8253,8.91,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,2,3.4032,-0.4574,9.16,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,3,0.8928,0.0706,7.63,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,4,1.8323,-4.3538,6.57,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,5,0.5466,0.6837,6.74,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,6,1.148,-0.6666,7.38,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,7,0.6287,0.6022,7.28,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,8,0.6698,0.5369,8.52,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,frontal,all,age,linear_probe,9,1.0913,-0.3332,9.88,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
