family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,0,0.8792,-0.884,4.83,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,1,0.3975,0.7596,2.58,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,2,0.5807,0.6371,2.8,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,3,0.4476,0.736,3.6,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,4,1.1015,-1.2952,3.41,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,5,0.2464,0.9315,2.98,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,6,0.3152,0.8723,2.05,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,7,0.3337,0.8879,3.85,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,8,0.288,0.8845,3.44,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,fine_tuning,9,0.417,0.7292,3.14,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,0,1.4255,-3.251,8.67,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,1,1.0767,-0.4373,8.0,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,2,2.5629,0.0539,6.96,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,3,0.8509,0.0811,7.04,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,4,2.0316,-5.8309,7.03,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,5,0.5015,0.7306,6.15,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,6,1.2096,-0.9755,7.7,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,7,0.501,0.7484,5.77,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,8,0.5074,0.7282,6.39,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,occipital,all,age,linear_probe,9,0.9405,0.0241,8.62,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
