family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,0,0.4522,0.6576,3.05,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,1,0.8372,0.1236,6.06,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,2,0.6375,0.5771,3.36,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,3,0.7966,0.1406,6.54,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,4,1.2027,-1.0848,4.66,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,5,0.3858,0.8372,4.65,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,6,0.6663,0.4397,4.36,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,7,0.8798,0.0288,10.24,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,8,0.4008,0.8202,5.14,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,fine_tuning,9,0.8636,0.0456,7.92,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,0,0.9926,-0.566,6.92,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,1,1.161,-0.7985,8.0,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,2,2.9961,0.1497,7.45,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,3,0.9837,-0.3024,8.18,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,4,2.6244,-11.6195,8.75,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,5,0.5147,0.7053,6.19,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,6,1.1632,-0.6807,7.62,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,7,0.7784,0.3198,9.04,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,8,0.6636,0.5546,8.52,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-nbr-wasser,nbr,wasserstein,,parietal,all,age,linear_probe,9,1.1872,-0.793,9.92,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
