family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,0,0.5823,0.4586,3.98,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,0,0.7276,0.1171,5.0,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,0,0.688,-0.0059,4.12,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,1,0.6617,0.3401,4.18,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,1,0.9275,-0.4214,5.72,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,1,0.7373,0.2537,5.04,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,2,0.6339,0.5059,5.63,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,2,0.6962,0.3067,4.54,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,2,1.6302,0.3292,5.27,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,3,0.6625,0.4189,5.32,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,3,0.5721,0.5395,4.53,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,3,0.665,0.2797,5.06,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,4,1.3021,-1.2158,5.3,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,4,1.3889,-2.0677,5.04,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,4,1.8083,-5.9153,5.77,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,all,all,age,fine_tuning,5,0.4365,0.7663,5.15,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
