family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,0,0.815,0.0478,6.07,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,1,1.0688,-1.0281,6.65,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,2,2.1576,0.3841,6.34,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,3,0.6655,0.495,5.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,4,1.4051,-2.023,5.2,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,5,0.4569,0.7825,5.58,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,6,1.1139,-0.5052,7.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,7,0.4812,0.7496,5.54,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,8,0.4026,0.7888,4.86,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,fine_tuning,9,0.696,0.3637,5.73,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,0,0.9737,-0.2569,7.42,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,1,1.2198,-1.3036,8.09,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,2,3.8059,-0.0601,9.26,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,3,1.0517,-0.3182,8.93,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,4,2.7343,-11.5073,9.79,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,5,0.6078,0.6103,7.37,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,6,1.5049,-1.8583,9.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,7,0.7479,0.4335,8.61,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,8,0.6373,0.5508,7.99,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,central,all,age,linear_probe,9,1.0762,-0.6411,8.5,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
