family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,0,0.8346,-0.6681,4.66,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,1,0.7072,0.1708,4.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,2,0.8248,0.3279,4.03,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,3,0.4345,0.7966,3.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,4,0.9615,-0.5967,3.1,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,5,0.3872,0.8476,4.78,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,6,0.5777,0.5433,3.46,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,7,0.4224,0.8094,4.82,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,8,0.3423,0.8592,4.22,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,fine_tuning,9,0.531,0.6404,4.47,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,0,1.3583,-2.5914,8.64,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,1,1.2661,-1.2668,8.44,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,2,2.9781,-0.9194,9.76,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,3,0.912,0.0627,7.88,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,4,1.7816,-4.0241,6.64,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,5,0.5447,0.6971,6.69,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,6,1.2481,-1.0612,7.71,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,7,0.6646,0.5558,7.67,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,8,0.7259,0.46,9.27,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,frontal,all,age,linear_probe,9,1.0129,-0.3063,8.44,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
