family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,0,0.721,-0.1886,4.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,1,0.3814,0.807,2.67,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,2,0.4482,0.63,2.68,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,3,0.4067,0.7935,3.35,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,4,0.9849,-0.9512,2.88,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,5,0.2124,0.9471,2.58,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,6,0.3865,0.8047,2.42,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,7,0.2732,0.9247,3.17,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,8,0.2472,0.9091,2.94,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,fine_tuning,9,0.3556,0.7714,2.51,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,0,1.2624,-2.2143,7.84,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,1,0.9973,-0.404,6.76,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,2,1.9955,0.1963,6.03,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,3,0.808,0.2124,6.84,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,4,1.8592,-5.0706,6.24,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,5,0.4564,0.7848,5.65,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,6,1.2176,-0.996,7.39,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,7,0.577,0.6664,6.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,8,0.5182,0.7135,6.54,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,occipital,all,age,linear_probe,9,0.7601,0.2898,6.48,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
