family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,0,0.4081,0.7545,2.91,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,1,0.9766,-0.217,6.98,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,2,1.1678,0.5131,4.7,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,3,0.8203,0.161,6.95,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,4,0.8408,0.0942,3.46,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,5,0.345,0.8722,4.17,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,6,0.7769,0.2677,5.29,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,7,0.8343,0.1417,9.71,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,8,0.3599,0.8572,4.56,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,fine_tuning,9,0.9972,-0.1804,9.48,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,0,0.774,0.2679,6.22,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,1,1.3238,-1.4374,8.84,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,2,2.9413,0.0295,8.41,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,3,0.96,-0.1674,8.04,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,4,2.1309,-6.3898,7.59,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,5,0.5389,0.6729,6.47,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,6,1.0795,-0.4019,7.26,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,7,0.8368,0.2531,9.73,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,8,0.6694,0.5283,8.61,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-cosine,xsubj,cosine,,parietal,all,age,linear_probe,9,1.1455,-0.625,9.72,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
