family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,0,0.7427,0.0857,5.12,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,0,0.6775,0.0941,4.25,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,0,0.6777,0.2811,4.75,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,1,0.7027,0.2386,4.36,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,1,0.6481,0.4435,4.53,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,1,0.7343,0.2576,5.01,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,2,0.6983,0.3575,4.55,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,2,0.8392,0.3614,4.87,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,2,1.7297,0.1903,6.12,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,3,0.5906,0.5458,4.82,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,3,0.5922,0.5125,4.71,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,3,0.5978,0.5614,4.99,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,4,1.2649,-1.2199,5.14,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,4,1.26,-0.9379,5.65,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,4,1.4767,-2.6397,5.29,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,5,0.4143,0.8015,4.93,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,5,0.4211,0.8008,5.07,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,5,0.4063,0.7897,4.76,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,6,0.6548,0.431,4.03,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,6,0.7099,0.3725,4.64,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,6,0.7719,0.2335,4.96,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,7,0.4984,0.7432,5.78,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,7,0.6355,0.5662,7.4,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,7,0.643,0.5503,7.49,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,8,0.4263,0.8028,5.49,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,8,0.4321,0.8071,5.57,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,8,0.447,0.7807,5.74,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,9,0.8032,0.1541,6.78,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,9,0.8477,0.0697,7.1,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,fine_tuning,9,0.8225,0.1755,7.21,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,0,0.947,-0.3958,6.69,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,0,0.9471,-0.2064,7.2,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,0,0.921,-0.0581,7.29,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,1,0.9936,-0.5453,6.55,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,1,1.0593,-0.4339,7.62,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,1,1.0778,-0.5473,7.67,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,2,0.8287,0.068,6.83,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,2,2.8684,-0.0639,8.21,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,2,2.7672,-0.0341,8.07,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,3,0.6926,0.4424,5.96,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,3,0.8639,0.1344,7.44,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,3,0.8462,0.2061,7.43,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,4,1.893,-4.3746,7.64,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,4,2.2668,-7.8699,8.17,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,4,2.2084,-7.3244,8.11,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,5,0.494,0.741,5.98,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,5,0.6013,0.6294,7.38,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,5,0.6047,0.6258,7.42,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,6,0.9468,-0.1356,6.08,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,6,1.0643,-0.3467,7.23,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,6,1.0651,-0.3689,7.13,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,7,0.6093,0.6218,7.06,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,7,0.6672,0.5366,7.75,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,7,0.6671,0.5401,7.75,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,8,0.5928,0.6272,7.57,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,8,0.6401,0.5637,8.07,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,8,0.6515,0.546,8.22,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,9,0.8848,0.1,7.84,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,9,0.864,0.1565,7.77,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,all,all,age,linear_probe,9,0.9078,0.0346,7.96,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
