family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,0,0.743,0.1612,5.34,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,1,0.9966,-0.7158,6.16,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,2,4.8104,0.2885,9.57,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,3,0.8945,0.0995,7.95,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,4,1.5251,-2.8196,5.35,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,5,0.4117,0.8126,4.96,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,6,1.0761,-0.3768,7.83,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,7,0.4408,0.7895,5.02,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,8,0.4537,0.703,5.36,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,fine_tuning,9,0.7414,0.3534,6.48,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,0,1.198,-1.0205,8.92,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,1,1.4656,-2.8934,9.11,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,2,3.9988,0.0224,8.88,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,3,1.0863,-0.3639,9.42,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,4,2.5614,-9.4761,9.51,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,5,0.579,0.6474,7.08,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,6,1.3129,-0.9723,9.73,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,7,0.7235,0.4726,8.33,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,8,0.7384,0.4532,9.58,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,central,all,age,linear_probe,9,0.967,-0.2657,7.83,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
