family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,0,0.7204,-0.1347,4.26,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,1,0.6006,0.4701,3.89,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,2,1.7523,0.4372,4.33,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,3,0.528,0.6788,4.56,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,4,1.3998,-2.6803,4.49,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,5,0.3399,0.8744,4.08,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,6,0.7099,0.3121,4.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,7,0.42,0.8182,4.81,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,8,0.4011,0.8205,5.0,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,fine_tuning,9,0.6725,0.4468,6.09,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,0,1.2417,-1.9562,7.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,1,1.4073,-2.3128,8.97,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,2,3.464,-0.2354,9.19,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,3,0.9214,0.0045,7.8,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,4,2.2277,-7.7603,7.74,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,5,0.4366,0.8004,5.36,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,6,1.0626,-0.3968,6.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,7,0.6191,0.6156,7.12,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,8,0.6673,0.5488,8.57,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,frontal,all,age,linear_probe,9,1.0547,-0.3481,9.05,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
