family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,0,0.6755,-0.0322,3.86,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,1,0.3653,0.7918,2.28,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,2,0.5479,0.6042,3.1,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,3,0.4082,0.7649,3.25,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,4,1.4581,-3.2162,4.45,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,5,0.2864,0.9087,3.43,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,6,0.591,0.4752,3.28,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,7,0.2922,0.9142,3.37,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,8,0.2948,0.8929,3.6,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,fine_tuning,9,0.4242,0.684,3.06,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,0,1.3844,-2.7686,8.77,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,1,1.2355,-0.7466,9.68,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,2,3.2969,0.1149,8.22,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,3,0.7206,0.4275,6.46,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,4,1.5384,-2.3977,5.89,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,5,0.522,0.7223,6.46,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,6,1.3864,-1.5009,8.94,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,7,0.6489,0.5778,7.5,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,8,0.6794,0.5089,8.53,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,occipital,all,age,linear_probe,9,0.9814,-0.1324,8.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
