family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,0,0.8811,-0.3734,5.86,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,1,0.8436,0.0452,5.8,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,2,2.5298,0.3328,7.1,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,3,0.8596,-0.0106,7.08,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,4,1.4567,-2.4152,5.41,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,5,0.3964,0.8317,4.82,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,6,0.9105,-0.078,6.04,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,7,0.8868,0.0483,10.33,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,8,0.4633,0.7795,5.92,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,fine_tuning,9,1.0481,-0.3421,9.99,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,0,0.9829,-0.5701,6.71,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,1,1.15,-0.6631,8.29,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,2,3.1202,-0.2846,8.91,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,3,0.9941,-0.2615,8.33,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,4,2.318,-8.2468,8.25,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,5,0.5874,0.6372,7.15,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,6,1.0755,-0.2883,7.86,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,7,0.8793,0.1341,10.23,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,8,0.7521,0.4176,9.6,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-riemann,xsubj,riemann,,parietal,all,age,linear_probe,9,1.1226,-0.5647,9.52,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
