family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,0,0.5457,0.4715,3.57,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,0,0.8093,0.0284,5.81,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,0,0.6774,0.0494,4.17,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,1,0.6884,0.3753,4.96,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,1,0.8847,-0.1744,5.81,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,1,0.8821,-0.1063,6.01,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,2,0.6296,0.5265,5.5,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,2,1.5978,0.3295,5.45,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,2,1.1776,0.3623,4.8,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,3,0.5479,0.6554,4.69,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,3,0.6272,0.4684,5.04,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,3,0.4935,0.7032,4.11,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,4,1.3551,-1.7764,4.92,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,4,1.5402,-2.6426,5.74,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,4,1.4417,-2.5245,5.04,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,5,0.4247,0.7799,5.02,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,5,0.4016,0.7994,4.74,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,5,0.4516,0.7471,5.39,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,6,0.7611,0.2233,4.88,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,6,0.7555,0.2333,4.61,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,6,0.7295,0.3067,4.56,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,7,0.6382,0.5667,7.39,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,7,0.6186,0.6007,7.21,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,7,0.5969,0.6142,6.96,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,8,0.3194,0.8843,4.03,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,8,0.5185,0.7228,6.67,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,8,0.4688,0.7653,6.0,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,9,0.7465,0.2887,6.3,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,9,0.6663,0.4056,5.44,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,fine_tuning,9,0.6231,0.4375,4.94,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,0,0.9526,-0.3552,6.88,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,0,1.0825,-0.7814,7.7,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,0,1.0981,-0.9022,7.67,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,1,0.9032,-0.1824,6.13,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,1,1.1645,-0.8671,8.07,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,1,1.0652,-0.4772,7.65,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,2,0.772,0.1289,6.38,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,2,2.7664,-0.5722,8.14,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,2,3.0222,-0.5048,8.19,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,3,0.6796,0.4477,5.77,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,3,0.85,0.1411,7.26,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,3,0.8586,0.1116,7.28,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,4,1.95,-5.2591,7.17,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,4,2.1075,-6.3954,7.71,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,4,2.0284,-5.7504,7.46,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,5,0.5125,0.7203,6.23,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,5,0.6379,0.5708,7.74,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,5,0.6189,0.5982,7.54,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,6,0.9718,-0.1663,6.44,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,6,1.1366,-0.7264,7.31,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,6,1.081,-0.4752,7.21,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,7,0.5795,0.6597,6.71,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,7,0.6896,0.5145,8.01,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,7,0.6584,0.5544,7.65,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,8,0.5236,0.7121,6.67,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,8,0.6579,0.5445,8.36,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,8,0.6836,0.5052,8.66,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,9,0.8653,0.1442,7.71,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,9,0.9024,-0.0456,7.49,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,all,all,age,linear_probe,9,0.8662,0.0772,7.36,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
