family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,0,0.7088,0.0929,4.63,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,1,1.3521,-2.4935,8.12,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,2,3.3553,0.4634,7.28,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,3,0.5963,0.5525,5.38,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,4,1.3316,-1.916,4.79,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,5,0.4084,0.8135,4.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,6,1.2022,-0.8063,8.28,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,7,0.4072,0.8209,4.61,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,8,0.2925,0.8807,3.49,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,fine_tuning,9,0.4815,0.6706,3.82,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,0,1.0291,-0.4217,7.85,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,1,1.4319,-2.974,8.6,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,2,3.5461,0.0128,8.9,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,3,1.0036,-0.1729,8.66,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,4,2.4122,-8.2601,8.75,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,5,0.5532,0.6807,6.8,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,6,1.6059,-2.131,10.96,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,7,0.6825,0.5292,7.86,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,8,0.6788,0.5012,8.53,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,central,all,age,linear_probe,9,0.9394,-0.0773,8.03,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
