family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,0,0.6917,-0.1689,3.83,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,1,0.547,0.4586,3.22,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,2,0.4462,0.463,2.8,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,3,0.434,0.776,3.69,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,4,0.9409,-0.3106,3.29,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,5,0.3407,0.8758,4.15,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,6,0.5841,0.4936,3.29,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,7,0.3616,0.8675,4.14,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,8,0.251,0.9121,3.06,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,fine_tuning,9,0.6285,0.451,5.31,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,0,1.0632,-1.0132,7.02,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,1,1.2622,-1.4002,7.96,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,2,2.8195,-1.1016,8.92,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,3,0.7953,0.2592,6.74,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,4,1.2129,-0.8614,5.02,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,5,0.4956,0.7419,6.06,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,6,1.201,-0.9782,7.36,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,7,0.6301,0.6021,7.25,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,8,0.7522,0.4133,9.68,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,frontal,all,age,linear_probe,9,0.9077,-0.0371,7.6,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
