family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,0,0.5986,0.157,3.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,1,0.4381,0.7479,3.06,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,2,2.6582,0.373,5.83,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,3,0.3603,0.8337,2.93,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,4,0.7558,0.257,3.02,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,5,0.2843,0.9107,3.44,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,6,0.4356,0.7453,2.65,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,7,0.2829,0.9173,3.28,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,8,0.2816,0.8848,3.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,fine_tuning,9,0.3563,0.7883,2.58,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,0,0.9697,-0.8398,6.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,1,0.8397,0.1457,6.29,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,2,1.4518,0.4769,4.88,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,3,0.6407,0.4874,5.34,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,4,1.1854,-0.8299,4.67,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,5,0.3922,0.8373,4.76,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,6,1.1124,-0.6893,6.68,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,7,0.5363,0.7112,6.19,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,8,0.4798,0.7512,6.17,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR-xsubj-wasser,xsubj,wasserstein,,occipital,all,age,linear_probe,9,0.7397,0.3086,6.22,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
