family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,0,0.7015,0.1894,4.77,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,0,0.712,0.051,4.59,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,0,0.7229,-0.0186,4.55,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,0,0.7028,0.0794,4.51,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,1,0.9243,-0.3393,6.15,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,1,0.7375,0.2916,5.36,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,1,0.899,-0.062,6.44,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,1,0.7098,0.3067,4.92,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,2,0.6357,0.5042,6.02,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,2,1.5326,0.3476,5.17,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,2,0.8428,0.4638,3.89,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,2,1.2992,0.3843,4.42,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,3,0.5548,0.603,4.52,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,3,0.603,0.5038,4.89,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,3,0.5867,0.5585,4.92,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,3,0.479,0.7089,3.99,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,4,1.3313,-1.2942,5.24,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,4,1.2535,-0.7557,5.77,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,4,1.6416,-3.0598,6.23,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,4,1.2905,-1.0035,5.63,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,5,0.4184,0.807,5.02,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,5,0.3887,0.8359,4.68,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,5,0.4205,0.8039,5.04,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,5,0.3771,0.8351,4.48,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,6,0.9774,-0.3003,5.96,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,6,0.7752,0.2192,4.9,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,6,0.6887,0.4063,4.51,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,6,0.6998,0.3435,4.29,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,7,0.4702,0.7698,5.45,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,7,0.5886,0.6383,6.84,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,7,0.583,0.6498,6.74,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,7,0.5695,0.6697,6.6,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,8,0.2538,0.9248,3.11,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,8,0.4933,0.7435,6.47,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,8,0.5386,0.6816,6.88,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,8,0.4542,0.7812,5.8,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,9,0.8834,0.0629,7.93,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,9,0.9215,-0.0027,8.11,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,9,0.7318,0.3102,6.28,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,all,all,age,fine_tuning,9,0.7878,0.2368,6.8,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,all,all,age,linear_probe,0,1.2599,-0.8313,10.57,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,linear_probe,0,1.2711,-0.8816,10.6,False,etapa_a,A,save/etapa_a,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,linear_probe,0,1.2767,-0.8993,10.64,False,baseline_ucles,A,save/baseline_ucles,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,linear_probe,0,1.2708,-0.8739,10.63,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,all,all,age,linear_probe,1,1.7162,-2.8749,12.72,False,nbr,A,save/nbr,downstream_raw_results_kfold_folds1-1.csv
