family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,0,0.7937,0.0819,5.74,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,1,1.0331,-0.7462,6.8,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,2,1.7729,0.5727,4.39,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,3,0.6988,0.4308,6.21,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,4,1.4393,-2.6866,4.88,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,5,0.4136,0.8134,4.99,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,6,1.2488,-0.9698,8.59,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,7,0.4382,0.7815,4.98,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,8,0.4293,0.8003,5.43,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,central,all,age,fine_tuning,9,0.5239,0.5678,3.9,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,0,1.2938,-1.1131,10.29,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,1,1.9036,-4.5376,12.71,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,2,4.3102,-0.4453,10.82,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,3,1.2486,-0.8696,10.59,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,4,2.8244,-11.3188,10.88,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,5,0.8757,0.2193,10.87,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,6,1.603,-2.0545,10.89,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,7,0.8642,0.2386,10.0,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,8,0.9978,-0.0228,12.72,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,central,all,age,linear_probe,9,1.492,-1.8346,12.51,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
