family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,0,0.7011,0.0348,4.46,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,1,0.6406,0.4119,4.33,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,2,0.655,0.4899,3.76,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,3,0.5522,0.6518,4.9,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,4,0.9919,-0.8365,3.04,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,5,0.3888,0.8468,4.82,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,6,0.6307,0.4963,4.1,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,7,0.4361,0.8058,4.99,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,8,0.3369,0.8448,4.08,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,frontal,all,age,fine_tuning,9,0.7574,0.2888,6.49,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,0,1.7366,-3.9598,12.07,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,1,1.7316,-3.1477,12.48,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,2,4.5041,-0.3728,11.44,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,3,1.4171,-1.4631,11.93,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,4,2.9357,-13.2864,10.99,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,5,0.9689,0.0611,12.1,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,6,1.4758,-1.5236,10.25,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,7,0.9684,0.061,11.15,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,8,1.0384,-0.0955,13.33,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,frontal,all,age,linear_probe,9,1.6028,-2.1557,13.64,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
