family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,0,0.6068,0.2524,3.69,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,1,0.51,0.6388,3.55,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,2,0.571,0.5714,2.98,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,3,0.4503,0.7535,3.77,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,4,1.263,-2.2209,3.73,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,5,0.2986,0.9021,3.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,6,0.519,0.604,2.94,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,7,0.3409,0.882,3.94,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,8,0.2667,0.9085,3.23,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,occipital,all,age,fine_tuning,9,0.3637,0.8109,2.89,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,0,1.6283,-2.9336,12.04,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,1,1.6063,-2.1339,12.63,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,2,5.4354,-0.7961,12.84,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,3,1.3599,-1.2109,11.5,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,4,2.8818,-12.0602,11.21,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,5,0.8918,0.1959,11.0,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,6,1.5292,-1.6637,10.84,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,7,0.9607,0.0654,11.12,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,8,1.0093,-0.0693,12.76,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,occipital,all,age,linear_probe,9,1.7148,-3.2196,13.56,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
