family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,0,0.6987,0.3086,5.29,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,1,1.0254,-0.395,7.32,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,2,2.6047,0.3748,6.97,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,3,0.8619,0.0141,7.15,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,4,1.6213,-3.9537,5.41,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,5,0.4401,0.7227,5.14,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,6,0.8252,0.1113,5.28,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,7,0.8669,0.097,10.08,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,8,0.6204,0.5893,8.21,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,parietal,all,age,fine_tuning,9,1.1715,-0.7018,10.28,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,0,1.3028,-1.1571,10.31,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,1,1.7588,-3.1936,12.91,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,2,5.1998,-1.0521,12.51,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,3,1.4479,-1.5361,12.28,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,4,2.9264,-12.4715,11.33,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,5,0.8372,0.2811,10.25,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,6,1.6284,-1.9831,11.71,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,7,0.9177,0.1431,10.59,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,8,0.9623,0.0352,12.18,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
SimCLR,SimCLR,augment,,,parietal,all,age,linear_probe,9,1.6621,-2.6478,13.74,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
