family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,0.6915,0.048,4.31,baselines_paper,TripletLoss_all_all_age_fold0.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,0.6262,0.3729,3.79,baselines_paper,TripletLoss_all_all_age_fold1.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,2.5995,0.193,7.61,baselines_paper,TripletLoss_all_all_age_fold2.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,0.5753,0.5963,4.86,baselines_paper,TripletLoss_all_all_age_fold3.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,1.3515,-1.9716,4.74,baselines_paper,TripletLoss_all_all_age_fold4.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,5,0.3665,0.8488,4.42,baselines_paper,TripletLoss_all_all_age_fold5.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,6,0.7312,0.3532,4.9,baselines_paper,TripletLoss_all_all_age_fold6.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,7,0.5486,0.6587,6.43,baselines_paper,TripletLoss_all_all_age_fold7.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,8,0.3039,0.8958,3.75,baselines_paper,TripletLoss_all_all_age_fold8.csv
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,9,0.702,0.3118,5.65,baselines_paper,TripletLoss_all_all_age_fold9.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,0.8621,-0.1877,5.99,baselines_paper,TripletLoss_all_all_age_fold0.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,0.8653,0.0579,6.56,baselines_paper,TripletLoss_all_all_age_fold1.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,3.1506,0.2099,7.91,baselines_paper,TripletLoss_all_all_age_fold2.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,0.7553,0.282,6.23,baselines_paper,TripletLoss_all_all_age_fold3.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,1.7875,-5.3636,5.99,baselines_paper,TripletLoss_all_all_age_fold4.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,5,0.4546,0.7763,5.5,baselines_paper,TripletLoss_all_all_age_fold5.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,6,0.8356,0.1482,5.6,baselines_paper,TripletLoss_all_all_age_fold6.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,7,0.6324,0.559,7.38,baselines_paper,TripletLoss_all_all_age_fold7.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,8,0.4729,0.7578,5.96,baselines_paper,TripletLoss_all_all_age_fold8.csv
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,9,0.9879,-0.1658,8.65,baselines_paper,TripletLoss_all_all_age_fold9.csv
